2026-06-03 00:10:54.241 [http-nio-8080-exec-10] INFO  com.example.demo.controller.ProductController - 查询商品列表成功，共 6 条记录
2026-06-03 00:10:54.241 [http-nio-8080-exec-7] INFO  com.example.demo.controller.StudentController - 查询学生列表成功，共 7 条记录
2026-06-03 00:10:54.241 [http-nio-8080-exec-8] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-03 00:10:54.242 [http-nio-8080-exec-5] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: TEACHER
2026-06-03 00:10:54.244 [http-nio-8080-exec-9] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布, 角色: TEACHER
2026-06-03 00:10:54.246 [http-nio-8080-exec-6] INFO  com.example.demo.controller.TeacherController - 查询教师列表成功，共 5 条记录
2026-06-03 00:10:54.250 [http-nio-8080-exec-5] INFO  com.example.demo.controller.RolePermissionController - 查询角色权限成功，角色: TEACHER, 共 7 条记录
2026-06-03 00:10:54.250 [http-nio-8080-exec-9] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 1 条记录
2026-06-03 00:10:54.256 [http-nio-8080-exec-1] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-03 00:10:54.260 [http-nio-8080-exec-1] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-03 00:11:07.120 [http-nio-8080-exec-2] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: 张玉, 登录类型: student
2026-06-03 00:11:07.120 [http-nio-8080-exec-2] INFO  com.example.demo.controller.AuthController - 学生登录，账号: 张玉
2026-06-03 00:11:07.191 [http-nio-8080-exec-2] INFO  com.example.demo.controller.AuthController - 学生登录成功: 张玉
2026-06-03 00:11:08.714 [http-nio-8080-exec-4] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: STUDENT
2026-06-03 00:11:08.715 [http-nio-8080-exec-7] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-03 00:11:08.715 [http-nio-8080-exec-10] INFO  com.example.demo.controller.ProductController - 查询所有商品列表
2026-06-03 00:11:08.715 [http-nio-8080-exec-5] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-03 00:11:08.715 [http-nio-8080-exec-8] INFO  com.example.demo.controller.TeacherController - 查询所有教师列表
2026-06-03 00:11:08.716 [http-nio-8080-exec-9] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布, 角色: STUDENT
2026-06-03 00:11:08.719 [http-nio-8080-exec-10] INFO  com.example.demo.controller.ProductController - 查询商品列表成功，共 6 条记录
2026-06-03 00:11:08.720 [http-nio-8080-exec-7] INFO  com.example.demo.controller.StudentController - 查询学生列表成功，共 7 条记录
2026-06-03 00:11:08.720 [http-nio-8080-exec-9] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 1 条记录
2026-06-03 00:11:08.720 [http-nio-8080-exec-5] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-03 00:11:08.721 [http-nio-8080-exec-4] INFO  com.example.demo.controller.RolePermissionController - 查询角色权限成功，角色: STUDENT, 共 7 条记录
2026-06-03 00:11:08.723 [http-nio-8080-exec-1] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-03 00:11:08.725 [http-nio-8080-exec-8] INFO  com.example.demo.controller.TeacherController - 查询教师列表成功，共 5 条记录
2026-06-03 00:11:08.727 [http-nio-8080-exec-1] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-03 00:11:11.184 [http-nio-8080-exec-6] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布, 角色: STUDENT
2026-06-03 00:11:11.187 [http-nio-8080-exec-6] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 1 条记录
2026-06-03 00:11:23.417 [http-nio-8080-exec-2] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: admin, 登录类型: user
2026-06-03 00:11:23.417 [http-nio-8080-exec-2] INFO  com.example.demo.controller.AuthController - 管理员登录，用户名: admin
2026-06-03 00:11:23.492 [http-nio-8080-exec-2] INFO  com.example.demo.controller.AuthController - 管理员登录成功: admin
2026-06-03 00:11:25.021 [http-nio-8080-exec-10] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: ADMIN
2026-06-03 00:11:25.023 [http-nio-8080-exec-7] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-03 00:11:25.023 [http-nio-8080-exec-9] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-03 00:11:25.023 [http-nio-8080-exec-4] INFO  com.example.demo.controller.TeacherController - 查询所有教师列表
