2026-06-07 00:17:34.993 [http-nio-8080-exec-2] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 2 条记录
2026-06-07 00:17:34.997 [http-nio-8080-exec-5] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-07 00:17:35.002 [http-nio-8080-exec-5] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-07 00:17:35.017 [http-nio-8080-exec-10] INFO  com.example.demo.controller.TeacherController - 查询教师列表成功，共 5 条记录
2026-06-07 00:17:36.354 [http-nio-8080-exec-4] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表
2026-06-07 00:17:36.357 [http-nio-8080-exec-4] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表成功，共 2 条记录
2026-06-07 00:18:37.400 [http-nio-8080-exec-5] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表
2026-06-07 00:18:37.404 [http-nio-8080-exec-5] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表成功，共 2 条记录
2026-06-07 00:44:28.661 [http-nio-8080-exec-4] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: admin, 登录类型: user
2026-06-07 00:44:28.661 [http-nio-8080-exec-4] INFO  com.example.demo.controller.AuthController - 管理员登录，用户名: admin
2026-06-07 00:44:28.733 [http-nio-8080-exec-4] INFO  com.example.demo.controller.AuthController - 管理员登录成功: admin
2026-06-07 00:44:29.892 [http-nio-8080-exec-8] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: ADMIN
2026-06-07 00:44:29.897 [http-nio-8080-exec-8] INFO  com.example.demo.controller.RolePermissionController - 查询角色权限成功，角色: ADMIN, 共 8 条记录
2026-06-07 00:44:29.897 [http-nio-8080-exec-6] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-07 00:44:29.901 [http-nio-8080-exec-2] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-07 00:44:29.902 [http-nio-8080-exec-6] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-07 00:44:29.905 [http-nio-8080-exec-3] INFO  com.example.demo.controller.TeacherController - 查询所有教师列表
2026-06-07 00:44:29.905 [http-nio-8080-exec-2] INFO  com.example.demo.controller.StudentController - 查询学生列表成功，共 7 条记录
2026-06-07 00:44:29.909 [http-nio-8080-exec-9] INFO  com.example.demo.controller.ProductController - 查询所有商品列表
2026-06-07 00:44:29.913 [http-nio-8080-exec-9] INFO  com.example.demo.controller.ProductController - 查询商品列表成功，共 6 条记录
2026-06-07 00:44:29.915 [http-nio-8080-exec-7] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-07 00:44:29.915 [http-nio-8080-exec-3] INFO  com.example.demo.controller.TeacherController - 查询教师列表成功，共 5 条记录
2026-06-07 00:44:29.919 [http-nio-8080-exec-7] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-07 00:44:29.922 [http-nio-8080-exec-1] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: null, 角色: ADMIN
2026-06-07 00:44:29.926 [http-nio-8080-exec-1] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 2 条记录
2026-06-07 00:44:34.458 [http-nio-8080-exec-5] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表
2026-06-07 00:44:34.461 [http-nio-8080-exec-5] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表成功，共 2 条记录
2026-06-07 00:44:42.079 [http-nio-8080-exec-10] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表
2026-06-07 00:44:42.082 [http-nio-8080-exec-10] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表成功，共 2 条记录
2026-06-07 00:44:59.215 [http-nio-8080-exec-4] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表
2026-06-07 00:44:59.218 [http-nio-8080-exec-4] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表成功，共 2 条记录
2026-06-07 00:45:02.113 [http-nio-8080-exec-8] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: ADMIN
2026-06-07 00:45:02.115 [http-nio-8080-exec-6] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-07 00:45:02.116 [http-nio-8080-exec-8] INFO  com.example.demo.controller.RolePermissionController - 查询角色权限成功，角色: ADMIN, 共 8 条记录
2026-06-07 00:45:02.119 [http-nio-8080-exec-6] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-07 00:45:02.119 [http-nio-8080-exec-2] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-07 00:45:02.122 [http-nio-8080-exec-9] INFO  com.example.demo.controller.TeacherController - 查询所有教师列表
2026-06-07 00:45:02.123 [http-nio-8080-exec-2] INFO  com.example.demo.controller.StudentController - 查询学生列表成功，共 7 条记录
2026-06-07 00:45:02.125 [http-nio-8080-exec-3] INFO  com.example.demo.controller.ProductController - 查询所有商品列表
2026-06-07 00:45:02.128 [http-nio-8080-exec-3] INFO  com.example.demo.controller.ProductController - 查询商品列表成功，共 6 条记录
2026-06-07 00:45:02.128 [http-nio-8080-exec-7] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-07 00:45:02.130 [http-nio-8080-exec-9] INFO  com.example.demo.controller.TeacherController - 查询教师列表成功，共 5 条记录
2026-06-07 00:45:02.132 [http-nio-8080-exec-7] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-07 00:45:02.134 [http-nio-8080-exec-1] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: null, 角色: ADMIN
2026-06-07 00:45:02.136 [http-nio-8080-exec-1] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 2 条记录
2026-06-07 00:45:03.705 [http-nio-8080-exec-5] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表
2026-06-07 00:45:03.707 [http-nio-8080-exec-5] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表成功，共 2 条记录
2026-06-07 00:45:14.023 [http-nio-8080-exec-10] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表
2026-06-07 00:45:14.026 [http-nio-8080-exec-10] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表成功，共 2 条记录
2026-06-07 00:45:18.172 [http-nio-8080-exec-4] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表
2026-06-07 00:45:18.174 [http-nio-8080-exec-4] INFO  com.example.demo.controller.GameController - 查询已上线游戏列表成功，共 2 条记录
2026-06-07 00:45:33.925 [http-nio-8080-exec-8] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: admin, 登录类型: user
2026-06-07 00:45:33.925 [http-nio-8080-exec-8] INFO  com.example.demo.controller.AuthController - 管理员登录，用户名: admin
2026-06-07 00:45:33.995 [http-nio-8080-exec-8] INFO  com.example.demo.controller.AuthController - 管理员登录成功: admin
2026-06-07 00:45:34.919 [http-nio-8080-exec-6] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: ADMIN
